optimizer	lr	weight_decay	dropout_p	initializer	activation	training_frac	seed
adam	0.0004757558109317069	0.0033039379072453867	0.22679168470599143	he	relu	0.5	461901618
adam	0.004523693483910344	0.00010326792644590247	0.16007860058103623	orthogonal	relu	0.5	774414982
sgd	0.0033094184638123234	3.71680674368652e-06	0.12217763285131072	xavier	tanh	0.5	732395540
sgd	0.08829318135826583	0.004533652846983905	0.44785222067043795	xavier	relu	0.5	861137736
adam	0.00328110790074441	1.8041769564594166e-07	0.2545070483929579	he	relu	1.0	279394470
sgd	0.012348467751888643	1.7658314249298088e-05	0.31365108150480675	xavier	relu	0.1	56972561
sgd	0.0017345062493457988	1.8322004582214418e-07	0.34990789084685237	orthogonal	relu	0.5	854206851
adam	0.0003222391872715985	2.1921511693001466e-05	0.3329868971373618	orthogonal	relu	0.1	825500248
adam	0.010833842093319238	4.1030580035570395e-05	0.3838474419787308	orthogonal	relu	1.0	926132539
sgd	0.00182139021399837	0.00787998328064308	0.1273168283486943	xavier	tanh	0.5	271820813
adam	0.001324392147672028	4.290091930603791e-06	0.2570526107424685	xavier	tanh	1.0	250814705
sgd	0.00019153912058982915	1.076635332606396e-06	0.38768763260745487	he	tanh	1.0	581609465
adam	0.040454519641116536	6.414385335874916e-08	0.2638434499688504	xavier	tanh	0.25	234564360
adam	0.0006724257717908563	1.7168692870511195e-05	0.4924121507372239	orthogonal	relu	0.5	68574553
adam	0.05497596045306896	1.0753955840733755e-06	0.48378714399547834	orthogonal	tanh	0.5	419498548
adam	0.0017758372298577667	0.00020041917077419691	0.1854192920944816	he	tanh	1.0	991681409
adam	0.012248527497949956	4.970497066296709e-06	0.1308889035259252	orthogonal	tanh	0.5	791274835
sgd	0.0006593777687269503	8.365761850033884e-06	0.036316106315440744	orthogonal	tanh	0.25	816698734
sgd	0.008002970718235022	1.1115683538087906e-05	0.005438802973182555	xavier	tanh	0.5	787110843
adam	0.0025309132128444743	4.398397038724779e-08	0.41954232764087185	he	relu	0.5	524150214
adam	0.0004656405648332983	7.1121835796101366e-06	0.10009263018763132	xavier	tanh	0.25	472432043
adam	0.0010013447684406966	8.460913794097072e-06	0.15706446948196667	orthogonal	tanh	0.5	357319431
sgd	0.025600900609463923	7.097107970790416e-08	0.12433017977265559	xavier	relu	1.0	147697582
adam	0.000290932182575862	0.00017192161667629985	0.4797744165968197	orthogonal	relu	0.5	744595490
adam	0.03287066175150048	0.0010156251168228622	0.22405392585623296	he	relu	1.0	684275917
sgd	0.009853184572267469	2.9721820011421897e-06	0.4212727081821406	he	relu	0.5	605850704
adam	0.0004445258764849514	1.3494800685512123e-05	0.12558565049189385	orthogonal	tanh	0.25	37709731
sgd	0.09373277707838074	3.3923326759426105e-07	0.391030606928527	orthogonal	tanh	0.5	782698033
sgd	0.0002523068784881278	2.5922447950163447e-06	0.4283072894427817	orthogonal	tanh	1.0	698027879
sgd	0.00014875953184076873	1.9604343929347605e-05	0.25541707107647915	he	relu	0.5	23027075
sgd	0.003581311462098267	0.006455019756508248	0.12052633287392112	orthogonal	tanh	0.25	265047041
sgd	0.011488873405182438	1.2204446841402024e-08	0.4636497722273311	xavier	relu	0.5	752288765
adam	0.052729934706825056	1.3987443951848245e-05	0.28887098119216204	xavier	tanh	0.25	86191493
sgd	0.00043610554516644725	6.606725065007223e-05	0.3090262104445496	orthogonal	relu	1.0	893102645
adam	0.006006359455550935	1.5260239267016733e-06	0.012739106384229926	orthogonal	relu	0.1	200619113
adam	0.0004969267442479383	0.00018434523565752776	0.14959224319132147	xavier	relu	0.5	290770691
adam	0.012555848558072905	4.436425920182886e-06	0.22600484988993486	he	relu	0.1	793943861
adam	0.0002116848753242125	1.514278099604514e-08	0.07237248654816503	orthogonal	tanh	0.5	134489564
adam	0.021711441278170096	1.5949390131165273e-06	0.13024826452835842	he	relu	1.0	943108798
adam	0.00041747088508172896	1.0732924851067759e-07	0.34669401516536474	xavier	relu	1.0	396360081
adam	0.004653379225710068	2.0203447754336764e-08	0.12084789698486709	xavier	tanh	0.25	107944665
adam	0.00138898578593993	0.0017262906307229772	0.43279598831758614	orthogonal	tanh	0.5	857937451
adam	0.00025851398504134947	0.001999025599248724	0.14577719766368707	he	tanh	1.0	813891745
sgd	0.004759447450197944	1.1654575221000085e-06	0.17175875094044657	he	tanh	1.0	623415497
sgd	0.0009045606060551046	2.998529463797628e-06	0.3441913960412978	he	tanh	1.0	622028733
adam	0.004122562722270787	0.00026344116264304487	0.05512662701282239	he	tanh	1.0	758744035
adam	0.0005279281953406945	1.344468765297958e-05	0.16724937098578013	xavier	relu	1.0	420477197
adam	0.00032051282874802757	2.1626343474025335e-07	0.14759305626154973	he	relu	0.1	976125790
adam	0.00037577548482922675	6.177268242612621e-06	0.29887795637340303	he	relu	0.25	738194223
adam	0.01034568770680682	1.7298821840513388e-07	0.3321186498054422	he	relu	0.5	328740110
adam	0.0007783255326090146	0.001965028975918773	0.3656981102245687	orthogonal	tanh	1.0	380072391
adam	0.001924086613699292	7.756322318301712e-08	0.067466097854609	orthogonal	tanh	0.1	302554573
adam	0.005778053266734284	2.3527273425736242e-05	0.3250840343895016	orthogonal	relu	0.5	841739990
sgd	0.00011745353697223014	0.0025042921904666576	0.10937194141307882	orthogonal	tanh	0.5	89482491
sgd	0.003133078196322032	8.128551995033746e-05	0.24038843467934312	he	tanh	0.1	194249720
adam	0.05433716646648044	0.0017962511228112152	0.07643983494973738	he	tanh	0.25	906976957
sgd	0.002264554331041875	1.683623797607751e-05	0.08462032555285798	he	relu	0.1	323541287
adam	0.00041387731773012595	0.0005563298258934095	0.29590139817244926	xavier	relu	0.1	406019796
sgd	0.023115808125636437	2.90683409467393e-08	0.38911097760025176	he	tanh	1.0	595614415
sgd	0.00011451942811029886	0.003639890478435966	0.21457624067501452	xavier	relu	1.0	91693393
adam	0.00019485366940794594	0.0014225399583526598	0.07234269445364999	he	tanh	0.5	170476398
adam	0.000258481105933507	2.0466664856132993e-07	0.44863169537601627	xavier	relu	0.1	338175028
adam	0.005760684115130392	0.0004067343696601158	0.36435457252265807	orthogonal	tanh	0.1	372593431
adam	0.0013028291001869227	3.53867476576672e-05	0.015810645918153454	xavier	tanh	0.25	458502041
sgd	0.022288183883646305	7.132674430039724e-08	0.2898953654520111	he	relu	0.1	924514520
sgd	0.07315154395221732	0.003837941918063966	0.09728338895217892	xavier	tanh	0.25	132862715
adam	0.07542894673590059	0.0008014708217509065	0.43643342112056527	orthogonal	relu	1.0	459708603
adam	0.03749229255718704	1.2553601222998362e-07	0.15464878161091583	orthogonal	tanh	0.1	183378299
sgd	0.0003220028513953273	0.00041058156616531757	0.43177110214734477	xavier	tanh	0.25	111665644
sgd	0.0003320913852420601	1.8125923154500347e-06	0.328309182794121	xavier	relu	1.0	605264936
sgd	0.054761253524107156	1.188119433961668e-06	0.43465560802667186	xavier	tanh	0.1	198743196
sgd	0.022218430702481196	0.00047217890736533024	0.09569127404157296	orthogonal	relu	1.0	224184334
sgd	0.005921000774724108	9.928432891189362e-07	0.2427347351336001	orthogonal	relu	0.25	709816108
adam	0.025223815916025905	0.004522274640771205	0.34501494740172356	he	tanh	0.5	320192576
sgd	0.00048740983345116096	1.453207557730696e-07	0.022227934380972703	xavier	tanh	0.5	67157848
adam	0.00038936940573563355	1.0861865846501536e-07	0.4003298714122636	orthogonal	relu	0.25	744753672
sgd	0.0010567936529663653	0.0005952336672062186	0.18787442186463404	xavier	tanh	0.25	95540567
sgd	0.006381948573347495	6.852555295215596e-08	0.18374598779615514	xavier	relu	0.5	622261376
sgd	0.00617431832857674	4.384439707828039e-08	0.14493819185184947	he	relu	1.0	853477355
sgd	0.000987664358393293	0.002043132873431998	0.42477656889315923	he	relu	0.1	186780295
adam	0.00325255455921302	0.0021587169874617194	0.03218994475799952	he	relu	0.1	23717335
adam	0.00980196421929597	1.9454277302142443e-06	0.0948314192486095	xavier	tanh	0.25	60472382
sgd	0.08143353779378289	1.1632442114027725e-07	0.29134896300269586	orthogonal	relu	0.1	281154698
adam	0.0012944669287189162	4.333654950411249e-06	0.19031524409795392	he	relu	0.1	854021618
adam	0.011447330894516385	1.272390975536381e-06	0.26780395658122563	xavier	tanh	1.0	888445520
adam	0.005447679139049706	1.294733220343009e-06	0.30938281422076713	orthogonal	tanh	1.0	907706759
adam	0.0016328791085319222	4.3810870588125754e-07	0.3394764038440298	xavier	tanh	0.25	983578274
adam	0.06359913820620845	0.00026329504479165653	0.35056274552210004	xavier	relu	1.0	172552610
adam	0.019849303594706113	4.6279344006839284e-07	0.012262045293633506	he	relu	0.5	91355424
adam	0.002434519282556799	0.009292597877642798	0.4483832120602279	xavier	tanh	0.1	455094650
sgd	0.0003189324515726569	0.0004093953870759473	0.1480776950332366	he	tanh	0.1	318019332
sgd	0.01400392624743237	2.907089523392599e-08	0.16500204530777535	he	relu	0.25	757206505
adam	0.000474079006051446	2.1761333220184756e-05	0.47595230116445564	xavier	relu	0.25	465856742
sgd	0.0767975374376554	1.8800349208038196e-08	0.1281627217019134	orthogonal	relu	0.5	648870905
sgd	0.020841834205127658	1.869743429774125e-05	0.470157149396742	orthogonal	tanh	0.5	497653800
sgd	0.00032113736135766876	5.392899425891485e-06	0.36780060944544535	xavier	relu	0.5	708496411
sgd	0.004611069538784374	0.002890774410710462	0.008862707995464736	xavier	tanh	1.0	485775494
adam	0.0016081082533855242	0.0005114454523593971	0.32315927390674887	he	tanh	1.0	429662408
sgd	0.03935884211183766	9.427539550555722e-08	0.07958922116079664	xavier	tanh	1.0	529561415
sgd	0.0033877208556289326	0.00012763068692938989	0.006184880747477528	he	relu	1.0	856634123
sgd	0.007600218507768728	0.0011696308907775622	0.4673635791570917	orthogonal	relu	0.25	347454369
adam	0.0001266742801939594	1.8529176484399271e-07	0.017372580696560558	xavier	tanh	0.1	409783328
sgd	0.05359476033073374	0.0001671253688920515	0.45032845249636744	he	tanh	1.0	272981039
adam	0.0002564292504278782	9.385071951021551e-08	0.2802195012930024	xavier	relu	0.1	518910454
adam	0.00010324609117775037	0.0004528624385083617	0.17263611631225584	orthogonal	tanh	0.1	261917078
adam	0.010907344190922095	8.424997770077159e-05	0.016004588288681787	orthogonal	tanh	1.0	725167677
sgd	0.04271463520593027	1.0937516776614413e-07	0.22158903965776144	orthogonal	tanh	0.1	322909911
sgd	0.09951495887217071	7.925534231564256e-06	0.3091998294354025	orthogonal	relu	0.5	712631076
sgd	0.0018984545888925798	8.407882599929784e-05	0.1705725012995868	orthogonal	relu	0.25	986151010
sgd	0.011484851424043459	2.5608971107254996e-08	0.14788104367588384	xavier	relu	0.5	392121003
sgd	0.08285499247620126	0.0011453459318949092	0.18534987994086516	orthogonal	relu	0.25	590804839
sgd	0.0010687896282479436	4.5226926841272346e-06	0.116875529155124	he	tanh	1.0	106179285
adam	0.08760930254591902	7.592893947172488e-06	0.19521213453858932	he	relu	0.5	589324250
adam	0.021892374012483565	0.0007749488392755854	0.26656753059100413	orthogonal	tanh	0.25	263038498
adam	0.000185621313420984	4.5176070823112304e-05	0.36972674260250055	he	tanh	1.0	954405824
sgd	0.0015055616357412232	0.0011394278198947666	0.4687266588300403	he	tanh	1.0	570916578
sgd	0.09313067231684116	4.610662327597187e-05	0.4560632259433187	xavier	relu	1.0	513653348
adam	0.05563067786246728	6.725215367020964e-05	0.20386754462300322	xavier	relu	0.25	952246190
adam	0.004923971342472681	0.00039985350595067186	0.0021306409177196395	orthogonal	relu	0.25	915879373
adam	0.023179744914005717	1.2501622191701411e-06	0.056346888064436385	orthogonal	relu	1.0	424831618
adam	0.000751893423764437	2.073845641704966e-07	0.2948830585882983	xavier	relu	0.5	46321408
adam	0.006017826541746726	1.5924961842154887e-08	0.41041664341588957	he	tanh	0.1	952321028
sgd	0.00040950881500853857	0.00023239200885838494	0.15165173381173724	orthogonal	tanh	0.25	263183577
sgd	0.0010727334730635685	0.0004980666718672392	0.43282345285936125	orthogonal	relu	0.1	90053374
adam	0.018596045585969077	7.782772320454049e-08	0.19034116471639556	orthogonal	tanh	0.5	26063245
adam	0.052807515293745236	0.002211983550223186	0.05474141099989599	xavier	tanh	0.5	173660954
adam	0.0028591639959393454	1.4720632603512906e-06	0.43313445418491636	xavier	tanh	0.1	97636744
adam	0.0002569037710501833	1.2062900598683116e-07	0.0031881117311027274	orthogonal	tanh	0.5	904790222
sgd	0.027838029944219876	1.3668319379074047e-08	0.04410478302141052	he	relu	0.5	762532878
sgd	0.00025079851487778867	0.00884575304354571	0.27184954774840314	orthogonal	tanh	0.5	476272473
adam	0.0002573621033329546	2.237541121060565e-06	0.0058998717390061906	xavier	relu	0.5	109174313
sgd	0.02239650189156072	1.02318782479279e-06	0.2239671975149377	xavier	relu	0.1	813194107
adam	0.0001508136300731568	0.0022199355603563452	0.17310025379598176	xavier	tanh	0.25	463390156
adam	0.00025238726865415336	9.583422922595776e-07	0.36552083424440934	orthogonal	relu	0.1	866377394
adam	0.004892522308590296	8.191479371163484e-07	0.07789986364515666	he	relu	0.1	134987326
sgd	0.00027793518806619005	0.0010230542180878566	0.34766871432248725	xavier	tanh	1.0	626049887
adam	0.00036208899633792275	1.2528197532756182e-06	0.15277720604452877	he	relu	0.1	585878246
adam	0.01133782901675227	0.001059848054290175	0.4644222471778916	he	tanh	1.0	967957744
sgd	0.07318023955985159	2.438707206880826e-07	0.32008130415180247	he	tanh	0.25	276406835
adam	0.00018710238605144347	0.007135134020995537	0.15287510118725212	he	relu	0.1	271766524
sgd	0.012727699177457426	0.00011530710686468501	0.2894069795417525	xavier	tanh	0.5	36810847
sgd	0.011240635037238442	0.004651507077588668	0.29042823846575855	he	relu	0.1	839735171
adam	0.05201823775469283	1.0406478114701367e-05	0.1587996161200016	he	tanh	0.25	676742877
sgd	0.0017529846725338769	0.005735247971660556	0.20167485970474647	xavier	tanh	0.25	598424036
sgd	0.026977330923634565	0.0024421167069891675	0.1937498645235396	xavier	relu	0.5	448469222
sgd	0.0004878320263752228	3.6955725972960366e-06	0.1743891841739041	he	relu	1.0	688839404
sgd	0.0014321149385789626	0.0014249945437051301	0.14532140171158964	orthogonal	relu	1.0	171116174
sgd	0.0024160576520501353	0.0012442961144231665	0.05095291138640434	orthogonal	relu	0.25	23841962
sgd	0.02982865939315367	1.0487624355027104e-08	0.33894952045147536	orthogonal	relu	0.5	872141340
adam	0.027405115067205634	5.750851995224989e-05	0.2238950644108808	he	relu	0.1	982680611
sgd	0.04044946991673316	1.0210751968207566e-05	0.09493719054624539	orthogonal	tanh	0.1	828299788
sgd	0.0008853191469770617	0.004465281130633044	0.04255357893679135	he	tanh	1.0	330626207
adam	0.06602049254311504	4.631344175912705e-08	0.38375089231069587	xavier	tanh	0.25	424623942
adam	0.002231910154973988	1.9220597302272414e-08	0.3467319755519077	he	relu	0.5	170731194
sgd	0.03601914651649293	8.718647179464193e-07	0.23698168165216416	orthogonal	tanh	0.1	836594930
adam	0.0013771202394904651	0.0017568087661189184	0.41236390536224954	xavier	relu	1.0	692440149
adam	0.004905238337419554	0.0033437207100532763	0.34720026362103257	orthogonal	tanh	0.25	560355099
adam	0.006196237743126603	0.0016348315429635105	0.3649845072927286	he	relu	1.0	771795521
sgd	0.001981329596437732	2.2938955873037423e-07	0.20703610976318493	xavier	tanh	0.5	534096553
sgd	0.01024123409085466	0.0056804292793320365	0.09286276924318704	he	relu	1.0	249625132
sgd	0.002942932236822291	0.0016687701802776326	0.3927849876182469	xavier	relu	0.25	195995197
sgd	0.04039517624721389	0.00198617688344045	0.3796857495625543	orthogonal	tanh	1.0	572964792
sgd	0.06084476526724813	3.437287223255593e-05	0.10466724471644645	xavier	relu	0.25	453094388
adam	0.05404547401987559	1.8230765349363556e-05	0.4034107679966216	he	relu	0.25	521669253
sgd	0.002061348137209488	1.558595374658897e-05	0.013241778990767561	orthogonal	tanh	1.0	887059227
sgd	0.014456874700497708	8.535470853414684e-08	0.37945316727152606	xavier	tanh	1.0	230519835
adam	0.0014127525294706114	1.3169061627711596e-07	0.3810558170143979	xavier	tanh	0.25	938194539
adam	0.01117515330408362	0.00023736878859318664	0.14998289212001553	xavier	relu	1.0	801312299
sgd	0.0034177655745412615	0.0005563115781281633	0.18481037414515028	xavier	relu	0.1	715154771
adam	0.09743030426851644	7.577752937550601e-06	0.16029901200186236	xavier	relu	1.0	612286237
sgd	0.0003026187275297364	9.949564349044441e-07	0.011064974290888374	xavier	relu	0.25	572434365
adam	0.003215775410467397	1.270727813975064e-06	0.28102732517807133	orthogonal	relu	1.0	168973642
sgd	0.07315397166996529	9.686171533951778e-05	0.2327969310949326	he	tanh	0.5	319309439
sgd	0.0001260645802723174	2.2342643292801087e-06	0.4088883739067805	he	relu	0.5	246703609
sgd	0.0007522620422513788	0.009632317186046138	0.4521383261670506	he	tanh	0.5	524363766
adam	0.00012298701075950816	4.136190305059122e-08	0.19150321569403128	he	tanh	0.5	627457371
sgd	0.00012294678774692325	4.304674830554744e-08	0.1043035871417618	orthogonal	relu	0.1	456545752
sgd	0.08014841506132281	0.0011088308575384579	0.046922827458850014	he	tanh	0.5	292072678
adam	0.0010293225562460666	0.007366302785520033	0.07186960447537738	he	tanh	0.5	673573053
sgd	0.01590630183357022	1.254470017836183e-05	0.26108282000454325	xavier	relu	0.25	472669408
sgd	0.0020590843633750146	3.1851961622223367e-06	0.3721152221166535	orthogonal	relu	0.1	95057280
adam	0.03689508373691153	0.005739914755306473	0.105990755205561	orthogonal	tanh	0.25	978974072
sgd	0.005287274019386057	1.4756205285003537e-07	0.015372391347195924	he	tanh	0.25	634324250
sgd	0.011558833458645725	2.915006337234773e-06	0.017720466859108386	xavier	tanh	0.1	760672189
sgd	0.000307426718707649	0.003117040808604551	0.4191805756689556	he	tanh	0.1	2235000
sgd	0.00014906511677854192	1.3921073367530395e-06	0.10748979229649686	xavier	relu	0.25	292121203
adam	0.0003978070424875551	2.811687081084994e-07	0.15569934943989877	orthogonal	tanh	1.0	440529868
sgd	0.0002054242946400608	0.0034485438763219027	0.12239884669006845	orthogonal	relu	0.25	475584232
sgd	0.00011578545701932915	5.3519823801043326e-05	0.218931373594288	xavier	tanh	0.5	235283714
sgd	0.014373830942059025	1.0146818550883453e-05	0.22705858626475256	he	relu	0.5	29859174
adam	0.002431070987070956	3.9133571477442704e-08	0.21284322046906984	he	tanh	0.25	707191493
adam	0.00022402969517495888	5.1697959220511675e-08	0.3676047406548333	orthogonal	tanh	1.0	46159303
adam	0.00021182203812315984	0.0001544216212751579	0.3946681290043963	xavier	tanh	0.5	146412954
adam	0.0008527110074682455	6.357649074668053e-06	0.015226651985555728	xavier	relu	1.0	719024776
adam	0.0328559103214449	0.0003607479750551097	0.3828527784765568	orthogonal	relu	1.0	953945764
adam	0.0001711188978489548	1.3121413467635093e-06	0.41248414805498507	orthogonal	tanh	0.1	826506464
adam	0.00025867229239700623	0.0003499261615997485	0.48139139731009023	xavier	tanh	0.25	514817842
sgd	0.003740854695262523	1.2218252472500525e-06	0.31575562024190046	orthogonal	tanh	0.1	83375337
adam	0.015429899465120198	1.4956009648453575e-07	0.23539830468446243	xavier	relu	0.25	376304299
adam	0.005355252593448016	0.0034572922247765826	0.4698866440549639	he	tanh	0.1	828540878
adam	0.015749362857537356	0.0024008870912946966	0.04736825660513433	orthogonal	relu	0.5	722804538
adam	0.003800673919676192	2.014744648330913e-08	0.47707466038980656	xavier	relu	0.25	314404213
sgd	0.010208655680021973	0.00029421019539021154	0.04519782078686452	xavier	relu	0.1	939585183
sgd	0.04804743748300383	8.557980830660608e-07	0.2699607318078335	xavier	relu	0.5	80705119
sgd	0.0010859164955636027	5.382617751491229e-06	0.2907093805130789	he	tanh	1.0	249546199
sgd	0.0007193697645159001	0.007737586071088502	0.1087541359492798	xavier	relu	1.0	871959784
sgd	0.0015019965815225647	0.0006099299212428797	0.4027685820717893	he	tanh	0.1	660721331
sgd	0.002657201096481791	0.0006168747230933572	0.04363184340523346	xavier	relu	1.0	488035440
adam	0.003421217938325626	6.2082645266581e-07	0.2180439356896457	he	tanh	1.0	278710077
sgd	0.09207927417099726	0.00037005942021664333	0.12484729545333445	he	tanh	0.5	952546800
adam	0.00033980251870392464	1.7163841651051607e-07	0.05799592617048149	he	relu	0.5	16816569
sgd	0.04126194844821778	8.332179655816588e-06	0.4744702889542161	xavier	relu	0.5	912454195
sgd	0.06977731799523557	5.7531328746753754e-06	0.4060548412052674	he	tanh	0.1	7654909
sgd	0.01935487208354669	0.0004128485753248544	0.4208883431302997	xavier	relu	1.0	843120422
sgd	0.000721866623152281	7.435804578260815e-07	0.26650982359167097	orthogonal	tanh	0.5	911695234
sgd	0.029510639291169243	1.1923536787974456e-08	0.10896553559385574	xavier	tanh	0.1	218520688
sgd	0.008611970678339794	0.004768110748894629	0.3215571158207851	xavier	tanh	0.5	636028516
sgd	0.00028094167044297457	2.1272401593594654e-06	0.15761147123735153	he	tanh	0.1	149638768
adam	0.0002010649694474187	0.004260180771867429	0.40556869018125896	xavier	tanh	0.25	158428240
sgd	0.00377478834119395	2.3783437307064864e-08	0.03167480206309742	he	relu	0.5	72073914
adam	0.0005014857272258535	1.3118916890980772e-05	0.1635850110626499	he	tanh	0.25	470575216
adam	0.008664076744794755	2.46457946165466e-05	0.4609248376166245	orthogonal	tanh	1.0	973303809
sgd	0.014900205128302094	1.412835749782895e-08	0.37355355064344004	orthogonal	tanh	0.5	11506305
sgd	0.0031307503561598714	4.3650946391090975e-06	0.02979453407213839	he	relu	0.1	691648731
adam	0.00014330428676691137	3.393037820052992e-05	0.33664434330678067	orthogonal	tanh	1.0	221099573
sgd	0.004088775058172668	0.00022388095696697518	0.3352140861858017	xavier	tanh	1.0	141951830
adam	0.00010484885216352121	0.0020852438633093776	0.2808546846045949	xavier	relu	0.1	123035620
sgd	0.052316291226261254	0.0003078946993538673	0.2629793606518158	orthogonal	tanh	0.1	408327903
adam	0.0007864863674594411	0.003961377403003245	0.474979567741174	xavier	relu	0.1	679746784
adam	0.0030653688991283067	2.2669009566329328e-08	0.2671700875021474	he	tanh	0.1	577034624
adam	0.00019294975511474397	1.02007914427984e-08	0.2533219213147792	orthogonal	relu	0.25	776124029
